,,,,,,,,,110年04月 2412 中華電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/04/01,"6,740,101","751,802,681",111.50,112.00,111.00,111.50, 0.00,"2,557",
110/04/06,"9,341,521","1,043,771,539",111.50,112.00,111.00,112.00,+0.50,"3,805",
110/04/07,"10,886,200","1,221,506,719",112.00,112.50,112.00,112.00, 0.00,"4,254",
110/04/08,"10,448,194","1,165,555,240",112.00,112.50,111.00,111.00,-1.00,"4,689",
110/04/09,"13,032,865","1,453,850,770",111.50,112.00,111.00,112.00,+1.00,"3,250",
110/04/12,"8,757,741","974,713,870",111.50,112.00,111.00,111.00,-1.00,"3,985",
110/04/13,"6,059,380","676,842,982",111.50,112.00,111.00,112.00,+1.00,"2,994",
110/04/14,"33,443,011","3,780,256,408",111.50,114.00,111.50,113.00,+1.00,"12,522",
110/04/15,"14,842,620","1,685,137,432",113.00,114.00,113.00,114.00,+1.00,"5,137",
110/04/16,"11,145,692","1,270,593,189",114.00,114.50,113.50,114.00, 0.00,"4,672",
110/04/19,"8,096,199","924,826,547",114.00,114.50,113.50,114.50,+0.50,"4,366",
110/04/20,"8,448,533","969,846,836",114.50,115.00,114.00,115.00,+0.50,"4,286",
110/04/21,"8,731,707","998,561,986",115.00,115.00,114.00,114.50,-0.50,"4,412",
110/04/22,"10,113,479","1,155,744,543",114.00,115.00,114.00,114.50, 0.00,"4,523",
110/04/23,"6,008,121","685,420,144",114.50,114.50,113.50,114.00,-0.50,"3,041",
110/04/26,"7,984,617","908,708,383",114.00,114.00,113.50,114.00, 0.00,"4,295",
110/04/27,"9,052,808","1,027,280,477",114.00,114.00,113.00,114.00, 0.00,"4,917",
110/04/28,"8,236,811","934,603,322",114.00,114.00,113.00,114.00, 0.00,"3,880",
110/04/29,"4,395,048","500,211,693",113.50,114.00,113.00,114.00, 0.00,"1,848",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
