,,,,,,,,,110年12月 2412 中華電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/12/01,"8,357,457","942,502,269",112.00,113.00,112.00,113.00,+1.00,"4,539",
110/12/02,"6,135,520","696,156,355",113.00,114.00,112.50,114.00,+1.00,"3,930",
110/12/03,"4,955,844","563,012,079",113.50,114.00,113.00,113.50,-0.50,"2,726",
110/12/06,"3,216,170","365,891,701",113.50,114.00,113.00,114.00,+0.50,"3,046",
110/12/07,"4,561,393","519,340,873",114.00,114.00,113.50,114.00, 0.00,"2,563",
110/12/08,"5,398,432","616,548,616",114.00,114.50,113.50,114.00, 0.00,"2,454",
110/12/09,"2,821,373","322,185,884",114.50,114.50,113.50,114.50,+0.50,"1,827",
110/12/10,"2,891,891","329,958,535",114.00,114.50,113.50,114.00,-0.50,"2,006",
110/12/13,"4,187,236","475,988,782",114.00,114.50,113.50,113.50,-0.50,"2,007",
110/12/14,"4,497,555","511,439,476",114.00,114.00,113.50,114.00,+0.50,"1,871",
110/12/15,"7,621,234","870,898,565",114.00,114.50,113.50,114.00, 0.00,"3,509",
110/12/16,"6,265,184","717,989,989",114.50,115.00,114.00,114.50,+0.50,"3,202",
110/12/17,"7,288,045","837,589,964",115.00,115.00,114.00,115.00,+0.50,"3,432",
110/12/20,"6,016,925","689,696,328",114.00,115.00,114.00,115.00, 0.00,"2,535",
110/12/21,"8,291,340","956,754,338",115.00,116.00,114.50,115.50,+0.50,"4,429",
110/12/22,"2,966,422","342,893,794",115.50,116.00,115.00,115.50, 0.00,"1,854",
110/12/23,"11,384,646","1,313,828,402",116.00,116.00,114.50,115.50, 0.00,"4,397",
110/12/24,"7,853,663","907,665,919",115.50,116.00,115.00,115.50, 0.00,"3,363",
110/12/27,"4,560,268","528,763,131",115.50,116.50,115.50,116.00,+0.50,"2,561",
110/12/28,"6,137,878","712,477,207",116.00,116.50,115.50,116.00, 0.00,"2,998",
110/12/29,"9,054,971","1,054,407,587",116.50,117.00,116.00,116.50,+0.50,"3,042",
110/12/30,"4,167,113","484,876,427",116.50,116.50,116.00,116.50, 0.00,"2,518",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
