,,,,,,,,,110年02月 2412 中華電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/02/01,"10,320,192","1,124,171,553",108.50,109.50,108.00,109.00,+1.00,"4,642",
110/02/02,"5,436,724","591,152,602",108.50,109.00,108.50,109.00, 0.00,"3,063",
110/02/03,"7,957,893","865,353,326",108.50,109.00,108.00,109.00, 0.00,"3,070",
110/02/04,"8,634,837","935,219,268",108.50,109.00,108.00,108.00,-1.00,"4,044",
110/02/05,"6,938,077","751,747,826",108.50,109.00,108.00,108.50,+0.50,"3,867",
110/02/17,"12,888,297","1,400,238,066",109.00,109.00,108.00,108.50, 0.00,"7,238",
110/02/18,"9,196,100","998,839,485",108.50,109.00,108.00,108.50, 0.00,"5,369",
110/02/19,"8,841,583","961,836,174",108.50,109.00,108.50,109.00,+0.50,"4,007",
110/02/22,"9,460,286","1,028,451,456",109.00,109.00,108.50,108.50,-0.50,"5,717",
110/02/23,"11,844,545","1,290,281,198",108.50,109.50,108.50,109.50,+1.00,"6,371",
110/02/24,"9,063,460","994,046,614",109.50,110.00,109.50,109.50, 0.00,"3,413",
110/02/25,"13,557,827","1,490,954,562",110.00,110.50,109.50,110.50,+1.00,"7,203",
110/02/26,"17,815,908","1,958,535,032",110.50,111.00,109.00,109.50,-1.00,"5,738",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
