,,,,,,,,,111年01月 2412 中華電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/01/03,"6,900,842","797,618,088",116.50,116.50,114.50,115.50,-1.00,"3,151",
111/01/04,"11,435,555","1,317,507,259",115.50,116.00,114.50,115.50, 0.00,"4,494",
111/01/05,"4,299,714","496,088,426",115.00,115.50,115.00,115.50, 0.00,"2,216",
111/01/06,"4,038,682","465,955,166",116.00,116.00,115.00,115.50, 0.00,"2,087",
111/01/07,"4,419,073","511,058,035",115.50,116.00,115.00,115.50, 0.00,"2,197",
111/01/10,"5,523,279","641,013,628",115.50,116.50,115.00,116.50,+1.00,"2,756",
111/01/11,"7,542,028","878,869,579",116.50,117.00,116.00,116.50, 0.00,"4,155",
111/01/12,"6,200,007","724,296,510",116.50,117.00,116.00,117.00,+0.50,"2,966",
111/01/13,"5,399,203","633,094,872",117.00,117.50,116.50,117.50,+0.50,"2,907",
111/01/14,"5,514,209","647,785,723",117.50,118.00,117.00,117.50, 0.00,"2,266",
111/01/17,"4,269,447","499,567,385",117.50,117.50,116.50,117.00,-0.50,"2,211",
111/01/18,"3,687,733","432,336,351",117.00,117.50,116.50,117.50,+0.50,"2,206",
111/01/19,"9,923,785","1,154,071,136",117.00,117.50,115.50,117.00,-0.50,"8,122",
111/01/20,"7,936,492","924,092,534",117.00,117.50,116.00,116.50,-0.50,"3,565",
111/01/21,"5,788,011","674,220,709",116.50,117.00,116.00,117.00,+0.50,"2,636",
111/01/24,"6,985,813","817,226,989",116.50,117.50,116.00,117.00, 0.00,"2,544",
111/01/25,"8,658,607","1,010,110,905",116.00,117.00,116.00,117.00, 0.00,"3,532",
111/01/26,"6,591,163","772,686,559",117.00,117.50,116.50,117.50,+0.50,"3,195",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
