Date,Open,Max,Min,Close,Diff
109/01/02,20.30,20.30,20.10,20.20, 0.00
109/01/03,20.20,20.30,20.15,20.25,+0.05
109/01/06,20.15,20.15,19.90,19.95,-0.30
109/01/07,19.95,20.00,19.90,19.90,-0.05
109/01/08,19.80,20.00,19.70,19.80,-0.10
109/01/09,19.90,20.00,19.85,20.00,+0.20
109/01/10,20.05,20.15,19.95,20.10,+0.10
109/01/13,20.15,20.20,20.00,20.20,+0.10
109/01/14,20.25,20.40,20.20,20.35,+0.15
109/01/15,20.40,20.50,20.30,20.40,+0.05
109/01/16,20.40,20.40,20.25,20.40, 0.00
109/01/17,20.45,20.50,20.40,20.50,+0.10
109/01/20,20.50,20.75,20.50,20.65,+0.15
109/01/30,20.30,20.30,19.30,19.35,-1.30
109/01/31,19.40,19.90,19.40,19.70,+0.35
109/02/03,19.30,19.95,19.25,19.80,+0.10
109/02/04,19.90,20.05,19.65,20.05,+0.25
109/02/05,20.00,20.20,19.80,20.20,+0.15
109/02/06,20.25,20.40,20.20,20.25,+0.05
109/02/07,20.15,20.35,20.10,20.30,+0.05
109/02/10,20.20,20.45,20.10,20.40,+0.10
109/02/11,20.40,20.40,20.20,20.30,-0.10
109/02/12,20.25,20.30,20.05,20.05,-0.25
109/02/13,20.05,20.20,20.05,20.15,+0.10
109/02/14,20.05,20.20,20.05,20.15, 0.00
109/02/17,20.05,20.15,20.00,20.15, 0.00
109/02/18,20.05,20.20,20.00,20.20,+0.05
109/02/19,20.20,20.30,20.05,20.30,+0.10
109/02/20,20.35,20.40,20.30,20.30, 0.00
109/02/21,20.30,20.40,20.10,20.25,-0.05
109/02/24,20.05,20.05,19.75,19.85,-0.40
109/02/25,19.75,19.85,19.65,19.75,-0.10
109/02/26,19.60,19.70,19.45,19.50,-0.25
109/02/27,19.40,19.50,19.20,19.20,-0.30
109/03/02,18.40,19.15,18.35,18.95,-0.25
109/03/03,19.10,19.30,18.90,19.20,+0.25
109/03/04,19.15,19.30,19.05,19.30,+0.10
109/03/05,19.35,19.60,19.35,19.50,+0.20
109/03/06,19.40,19.45,19.05,19.05,-0.45
109/03/09,18.60,18.70,18.30,18.40,-0.65
109/03/10,18.05,18.55,18.05,18.50,+0.10
109/03/11,18.50,18.60,18.20,18.25,-0.25
109/03/12,18.10,18.15,17.30,17.50,-0.75
109/03/13,16.20,17.40,16.00,17.40,-0.10
109/03/16,17.20,17.20,16.45,16.45,-0.95
109/03/17,15.80,16.15,15.60,15.60,-0.85
109/03/18,15.40,15.80,15.10,15.55,-0.05
109/03/19,14.80,14.90,14.00,14.00,-1.55
109/03/20,14.15,15.35,14.15,15.25,+1.25
109/03/23,14.40,14.70,14.20,14.20,-1.05
109/03/24,14.90,15.55,14.85,15.20,+1.00
109/03/25,15.90,15.95,15.40,15.75,+0.55
109/03/26,15.80,15.80,15.50,15.60,-0.15
109/03/27,15.90,16.10,15.75,16.00,+0.40
109/03/30,15.60,15.85,15.40,15.60,-0.40
109/03/31,15.85,15.90,15.45,15.55,-0.05
109/04/01,15.50,15.50,15.25,15.30,-0.25
109/04/06,15.60,15.60,15.20,15.50,+0.20
109/04/07,15.75,15.80,15.40,15.65,+0.15
109/04/08,15.50,15.80,15.50,15.70,+0.05
109/04/09,15.75,16.00,15.75,15.90,+0.20
109/04/10,15.90,16.35,15.85,16.30,+0.40
109/04/13,16.20,16.20,16.00,16.05,-0.25
109/04/14,16.10,17.00,16.05,16.70,+0.65
109/04/15,17.00,17.30,16.95,17.20,+0.50
109/04/16,16.90,16.90,16.60,16.80,-0.40
109/04/17,17.10,17.35,16.85,16.85,+0.05
109/04/20,16.90,16.95,16.75,16.75,-0.10
109/04/21,16.60,16.60,16.05,16.10,-0.65
109/04/22,15.90,16.10,15.75,16.00,-0.10
109/04/23,16.10,16.30,16.00,16.15,+0.15
109/04/24,16.15,16.25,16.05,16.10,-0.05
109/04/27,16.35,16.45,16.20,16.40,+0.30
109/04/28,16.50,16.55,16.30,16.40, 0.00
109/04/29,16.50,16.80,16.45,16.75,+0.35
109/04/30,16.80,17.25,16.75,17.10,+0.35
109/05/04,16.35,16.75,16.35,16.50,-0.60
109/05/05,16.60,16.75,16.55,16.55,+0.05
109/05/06,16.50,16.55,16.20,16.35,-0.20
109/05/07,16.35,16.50,16.35,16.40,+0.05
109/05/08,16.50,16.60,16.35,16.40, 0.00
109/05/11,16.60,16.85,16.55,16.70,+0.30
109/05/12,16.60,16.70,16.50,16.50,-0.20
109/05/13,16.45,16.65,16.40,16.65,+0.15
109/05/14,16.50,16.55,16.30,16.30,-0.35
109/05/15,16.40,16.50,16.25,16.25,-0.05
109/05/18,16.25,16.35,16.15,16.20,-0.05
109/05/19,16.45,16.50,16.20,16.25,+0.05
109/05/20,16.30,16.35,16.20,16.20,-0.05
109/05/21,16.25,16.45,16.20,16.40,+0.20
109/05/22,16.35,16.40,16.15,16.15,-0.25
109/05/25,16.15,16.35,16.10,16.30,+0.15
109/05/26,16.40,16.70,16.30,16.60,+0.30
109/05/27,16.65,16.80,16.65,16.65,+0.05
109/05/28,16.75,16.80,16.50,16.50,-0.15
109/05/29,16.45,16.50,16.25,16.25,-0.25
109/06/01,16.45,16.70,16.40,16.65,+0.40
109/06/02,16.70,17.10,16.65,17.00,+0.35
109/06/03,17.30,17.40,17.20,17.35,+0.35
109/06/04,17.50,17.60,17.30,17.35, 0.00
109/06/05,17.35,17.60,17.25,17.50,+0.15
109/06/08,17.80,18.10,17.80,18.05,+0.55
109/06/09,18.15,18.50,18.00,18.15,+0.10
109/06/10,18.40,18.55,18.30,18.50,+0.35
109/06/11,18.50,18.70,18.05,18.05,-0.45
109/06/12,17.55,17.95,17.40,17.85,-0.20
109/06/15,17.95,18.20,17.85,17.95,+0.10
109/06/16,18.20,18.40,18.15,18.30,+0.35
109/06/17,18.30,18.70,18.20,18.50,+0.20
109/06/18,18.50,18.70,18.30,18.35,-0.15
109/06/19,18.40,18.45,18.15,18.15,-0.20
109/06/22,18.20,18.30,18.15,18.20,+0.05
109/06/23,18.20,18.30,18.00,18.20, 0.00
109/06/24,18.25,18.45,18.25,18.40,+0.20
109/06/30,17.60,17.65,17.45,17.45, 0.00
109/07/01,17.50,17.65,17.50,17.60,+0.15
109/07/02,17.65,17.70,17.60,17.65,+0.05
109/07/03,17.75,17.90,17.70,17.90,+0.25
109/07/06,18.00,18.10,17.95,18.00,+0.10
109/07/07,18.20,18.30,18.05,18.15,+0.15
109/07/08,18.25,18.25,18.10,18.10,-0.05
109/07/09,18.20,18.30,18.10,18.10, 0.00
109/07/10,18.15,18.15,17.90,17.90,-0.20
109/07/13,18.10,18.35,18.05,18.30,+0.40
109/07/14,18.25,18.40,18.20,18.35,+0.05
109/07/15,18.45,18.55,18.35,18.40,+0.05
109/07/16,18.45,18.50,18.35,18.40, 0.00
109/07/17,18.50,18.50,18.25,18.30,-0.10
109/07/20,18.30,18.35,18.10,18.15,-0.15
109/07/21,18.20,18.30,18.15,18.15, 0.00
109/07/22,18.15,18.30,18.15,18.30,+0.15
109/07/23,18.20,18.30,18.15,18.20,-0.10
109/07/24,18.10,18.20,18.00,18.00,-0.20
109/07/27,18.00,18.10,17.80,17.80,-0.20
109/07/28,17.75,18.00,17.70,17.90,+0.10
109/07/29,18.05,18.50,18.00,18.30,+0.40
109/07/30,18.50,18.50,18.20,18.35,+0.05
109/07/31,18.20,18.25,18.00,18.00,-0.35
109/08/03,18.05,18.10,17.90,17.95,-0.05
109/08/04,18.00,18.40,18.00,18.20,+0.25
109/08/05,18.30,18.30,18.20,18.25,+0.05
109/08/06,18.30,18.70,18.30,18.65,+0.40
109/08/07,18.75,19.00,18.65,18.70,+0.05
109/08/10,19.20,19.40,19.00,19.15,+0.45
109/08/11,19.30,19.30,19.10,19.15, 0.00
109/08/12,19.20,19.25,18.90,19.05,-0.10
109/08/13,19.10,19.15,19.00,19.10,+0.05
109/08/14,19.05,19.15,19.00,19.10, 0.00
109/08/18,18.85,18.85,18.65,18.75,-0.05
109/08/19,18.75,19.15,18.75,18.85,+0.10
109/08/20,18.80,18.90,18.30,18.45,-0.40
109/08/21,18.65,18.75,18.45,18.60,+0.15
109/08/24,18.65,18.70,18.40,18.45,-0.15
109/08/25,18.45,18.55,18.40,18.45, 0.00
109/08/26,18.45,18.55,18.30,18.40,-0.05
109/08/27,18.40,18.40,18.30,18.30,-0.10
109/08/28,18.30,18.45,18.25,18.30, 0.00
109/08/31,18.40,18.45,18.30,18.40,+0.10
109/09/01,18.30,18.45,18.20,18.30,-0.10
109/09/02,18.40,18.45,18.20,18.30, 0.00
109/09/03,18.35,18.70,18.30,18.40,+0.10
109/09/04,18.25,18.35,18.20,18.20,-0.20
109/09/07,18.25,18.35,18.15,18.25,+0.05
109/09/08,18.35,18.40,18.20,18.30,+0.05
109/09/09,18.20,18.25,18.10,18.20,-0.10
109/09/10,18.25,18.30,18.15,18.30,+0.10
109/09/11,18.25,18.35,18.20,18.30, 0.00
109/09/14,18.35,18.35,18.15,18.25,-0.05
109/09/15,18.25,18.30,18.15,18.25, 0.00
109/09/16,18.25,18.40,18.20,18.35,+0.10
109/09/17,18.30,18.40,18.25,18.30,-0.05
109/09/18,18.25,18.30,18.20,18.30, 0.00
109/09/21,18.20,18.25,18.00,18.00,-0.30
109/09/22,17.95,18.00,17.70,17.75,-0.25
109/09/23,17.75,17.85,17.65,17.70,-0.05
109/09/24,17.55,17.55,17.15,17.15,-0.55
109/09/25,17.25,17.60,17.20,17.30,+0.15
109/09/28,17.45,17.80,17.45,17.70,+0.40
109/09/29,17.80,17.85,17.60,17.65,-0.05
109/09/30,17.80,17.80,17.60,17.80,+0.15
109/10/05,17.80,17.95,17.80,17.85,+0.05
109/10/06,17.95,18.20,17.95,18.20,+0.35
109/10/07,18.05,18.15,18.00,18.00,-0.20
109/10/08,18.10,18.20,18.00,18.20,+0.20
109/10/12,18.20,18.20,18.00,18.20, 0.00
109/10/13,18.10,18.15,17.95,18.10,-0.10
109/10/14,18.15,18.15,18.05,18.15,+0.05
109/10/15,18.00,18.15,18.00,18.00,-0.15
109/10/16,18.05,18.10,17.90,17.90,-0.10
109/10/19,17.95,17.95,17.80,17.80,-0.10
109/10/20,17.80,17.85,17.75,17.85,+0.05
109/10/21,17.90,17.95,17.85,17.85, 0.00
109/10/22,17.85,18.10,17.80,18.10,+0.25
109/10/23,18.05,18.10,17.90,17.95,-0.15
109/10/26,17.90,18.15,17.90,18.05,+0.10
109/10/27,17.95,18.00,17.90,18.00,-0.05
109/10/28,17.95,18.00,17.85,17.90,-0.10
109/10/29,17.75,17.80,17.60,17.65,-0.25
109/10/30,17.60,17.75,17.55,17.75,+0.10
109/11/02,17.75,18.00,17.70,18.00,+0.25
109/11/03,17.95,18.15,17.90,18.10,+0.10
109/11/04,18.00,18.20,18.00,18.15,+0.05
109/11/05,18.15,18.25,18.10,18.25,+0.10
109/11/06,18.15,18.30,18.10,18.30,+0.05
109/11/09,18.30,18.40,18.25,18.35,+0.05
109/11/10,18.45,18.60,18.45,18.60,+0.25
109/11/11,18.60,19.05,18.55,19.05,+0.45
109/11/12,19.00,19.05,18.60,18.60,-0.45
109/11/13,18.55,18.70,18.45,18.50,-0.10
109/11/16,18.65,18.85,18.60,18.80,+0.30
109/11/17,18.95,19.00,18.80,18.90,+0.10
109/11/18,18.90,19.05,18.85,19.05,+0.15
109/11/19,19.00,19.05,18.90,18.95,-0.10
109/11/20,19.00,19.05,18.90,19.05,+0.10
109/11/23,19.25,19.40,19.15,19.40,+0.35
109/11/24,19.50,19.55,19.35,19.40, 0.00
109/11/25,19.50,19.50,19.10,19.25,-0.15
109/11/26,19.15,19.25,19.10,19.25, 0.00
109/11/27,19.25,19.30,19.10,19.30,+0.05
109/11/30,19.15,19.25,19.05,19.10,-0.20
109/12/01,19.15,19.35,19.05,19.35,+0.25
109/12/02,19.35,19.40,19.20,19.40,+0.05
109/12/03,19.30,19.40,19.20,19.35,-0.05
109/12/04,19.25,19.40,19.25,19.40,+0.05
109/12/07,19.40,19.45,19.25,19.30,-0.10
109/12/08,19.20,19.35,19.15,19.35,+0.05
109/12/09,19.35,19.50,19.30,19.45,+0.10
109/12/10,19.40,19.65,19.35,19.40,-0.05
109/12/11,19.50,19.85,19.45,19.80,+0.40
109/12/14,19.90,20.00,19.85,19.85,+0.05
109/12/15,19.85,19.90,19.45,19.50,-0.35
109/12/16,19.65,19.80,19.60,19.80,+0.30
109/12/17,19.80,19.80,19.65,19.65,-0.15
109/12/18,19.65,19.80,19.55,19.55,-0.10
109/12/21,19.55,19.90,19.55,19.90,+0.35
109/12/22,19.90,19.90,19.65,19.65,-0.25
109/12/23,19.60,19.70,19.55,19.55,-0.10
109/12/24,19.65,19.80,19.60,19.75,+0.20
109/12/25,19.75,19.80,19.65,19.70,-0.05
109/12/28,19.70,19.80,19.65,19.80,+0.10
109/12/29,19.90,20.00,19.85,19.95,+0.15
109/12/30,19.95,20.50,19.90,20.40,+0.45
109/12/31,20.65,20.70,20.35,20.55,+0.15
110/01/04,20.45,20.60,20.25,20.45,-0.10
110/01/05,20.45,20.60,20.35,20.55,+0.10
110/01/06,20.50,21.15,20.45,20.65,+0.10
110/01/07,20.80,21.25,20.80,21.00,+0.35
110/01/08,21.25,21.50,21.00,21.35,+0.35
110/01/11,21.30,22.00,21.25,21.90,+0.55
110/01/12,22.10,22.10,21.25,21.25,-0.65
110/01/13,21.35,21.50,21.25,21.40,+0.15
110/01/14,21.40,21.40,21.05,21.20,-0.20
110/01/15,21.25,21.35,20.90,21.00,-0.20
110/01/18,21.00,21.00,20.65,21.00, 0.00
110/01/19,21.00,21.40,20.95,21.30,+0.30
110/01/20,21.30,21.30,20.55,20.65,-0.65
110/01/21,20.75,21.10,20.70,21.00,+0.35
110/01/22,21.00,21.00,20.65,20.75,-0.25
110/01/25,20.75,20.90,20.55,20.85,+0.10
110/01/26,20.85,20.95,20.70,20.70,-0.15
110/01/27,20.85,21.05,20.65,20.65,-0.05
110/01/28,20.45,20.50,20.15,20.30,-0.35
110/01/29,20.35,20.45,19.90,19.90,-0.40
110/02/01,19.90,20.30,19.85,20.20,+0.30
110/02/02,20.45,20.90,20.30,20.65,+0.45
110/02/03,20.75,20.90,20.50,20.85,+0.20
110/02/04,20.75,20.90,20.65,20.75,-0.10
110/02/05,20.80,21.00,20.75,21.00,+0.25
110/02/17,21.45,21.50,21.15,21.40,+0.40
110/02/18,21.45,21.70,21.35,21.40, 0.00
110/02/19,21.40,21.40,21.10,21.30,-0.10
110/02/22,21.45,21.60,21.30,21.30, 0.00
110/02/23,21.35,21.80,21.25,21.65,+0.35
110/02/24,21.80,21.90,21.55,21.60,-0.05
110/02/25,21.85,22.00,21.70,22.00,+0.40
110/02/26,21.70,21.85,21.25,21.25,-0.75
110/03/02,21.50,21.55,21.05,21.05,-0.20
110/03/03,21.25,21.55,21.05,21.40,+0.35
110/03/04,21.35,21.35,21.00,21.15,-0.25
110/03/05,20.95,21.30,20.85,21.20,+0.05
110/03/08,21.25,21.45,21.05,21.15,-0.05
110/03/09,21.15,21.70,21.15,21.65,+0.50
110/03/10,21.65,21.90,21.60,21.85,+0.20
110/03/11,22.00,22.00,21.75,21.85, 0.00
110/03/12,21.85,21.90,21.60,21.90,+0.05
110/03/15,21.85,22.00,21.85,21.90, 0.00
110/03/16,21.95,21.95,21.80,21.90, 0.00
110/03/17,21.90,21.95,21.75,21.80,-0.10
110/03/18,21.90,22.05,21.85,21.90,+0.10
110/03/19,21.85,21.90,21.55,21.65,-0.25
110/03/22,21.60,21.80,21.55,21.75,+0.10
110/03/23,21.75,22.00,21.70,21.90,+0.15
110/03/24,22.00,22.40,22.00,22.15,+0.25
110/03/25,22.15,22.35,22.15,22.30,+0.15
110/03/26,22.40,22.40,22.25,22.25,-0.05
110/03/29,22.30,22.35,22.25,22.35,+0.10
110/03/30,22.35,22.65,22.25,22.65,+0.30
110/03/31,22.70,22.75,22.50,22.50,-0.15
110/04/01,22.60,22.65,22.40,22.40,-0.10
110/04/06,22.55,22.65,22.50,22.50,+0.10
110/04/07,22.65,22.65,22.55,22.60,+0.10
110/04/08,22.65,22.70,22.55,22.70,+0.10
110/04/09,23.05,23.05,22.90,23.00,+0.30
110/04/12,23.05,23.40,23.05,23.35,+0.35
110/04/13,23.45,23.55,23.10,23.15,-0.20
110/04/14,23.20,23.30,23.05,23.30,+0.15
110/04/15,23.35,24.00,23.30,24.00,+0.70
110/04/16,24.00,24.75,24.00,24.75,+0.75
110/04/19,24.90,26.20,24.85,26.10,+1.35
110/04/20,26.05,26.05,25.55,26.00,-0.10
110/04/21,25.75,26.15,25.45,25.70,-0.30
110/04/22,25.85,26.65,25.65,25.95,+0.25
110/04/23,26.20,26.40,25.80,25.90,-0.05
110/04/26,26.15,26.50,26.05,26.50,+0.60
110/04/27,26.55,26.55,26.25,26.35,-0.15
110/04/28,26.30,26.40,26.05,26.10,-0.25
110/04/29,26.00,26.30,25.75,26.00,-0.10
110/05/03,25.90,26.10,25.50,25.50,-0.50
110/05/04,25.50,25.85,24.65,25.05,-0.45
110/05/05,25.10,25.70,25.00,25.30,+0.25
110/05/06,25.50,25.85,25.45,25.70,+0.40
110/05/07,25.90,26.00,25.60,25.90,+0.20
110/05/10,26.00,26.80,25.95,26.70,+0.80
110/05/11,26.40,26.85,25.80,26.00,-0.70
110/05/12,25.85,26.00,23.50,24.50,-1.50
110/05/13,23.80,24.60,23.40,23.90,-0.60
110/05/14,24.15,24.60,24.10,24.30,+0.40
110/05/17,23.65,24.20,22.95,23.15,-1.15
110/05/18,23.35,24.65,23.35,24.45,+1.30
110/05/19,24.40,24.70,24.15,24.35,-0.10
110/05/20,24.20,24.65,24.10,24.45,+0.10
110/05/21,24.75,25.10,24.40,24.65,+0.20
110/05/24,24.45,25.00,24.35,25.00,+0.35
110/05/25,25.00,25.30,25.00,25.05,+0.05
110/05/26,25.25,25.25,25.00,25.15,+0.10
110/05/27,25.05,25.20,24.80,25.20,+0.05
110/05/28,25.20,25.60,25.20,25.60,+0.40
110/05/31,25.65,25.80,25.50,25.60, 0.00
110/06/01,25.60,25.75,25.45,25.70,+0.10
110/06/02,25.65,25.95,25.65,25.95,+0.25
110/06/03,26.05,26.55,25.90,26.00,+0.05
110/06/04,25.80,25.90,25.70,25.80,-0.20
110/06/07,25.75,25.80,25.20,25.50,-0.30
110/06/08,25.55,25.95,25.55,25.85,+0.35
110/06/09,25.85,25.85,25.45,25.50,-0.35
110/06/10,25.55,25.60,25.35,25.50, 0.00
110/06/11,25.50,25.70,25.45,25.50, 0.00
110/06/15,25.50,25.50,25.40,25.40,-0.10
110/06/16,25.30,25.65,25.30,25.40, 0.00
110/06/17,25.20,25.45,25.20,25.45,+0.05
110/06/18,25.35,25.50,25.20,25.20,-0.25
110/06/21,25.00,25.30,24.80,25.05,-0.15
110/06/22,25.05,25.40,25.05,25.35,+0.30
110/06/23,25.35,25.60,25.30,25.45,+0.10
110/06/24,25.60,26.10,25.55,26.05,+0.60
110/06/25,26.10,26.50,26.10,26.45,+0.40
110/06/28,26.60,26.70,26.40,26.40,-0.05
110/06/29,26.40,26.55,26.20,26.40, 0.00
110/06/30,26.45,27.05,26.45,26.85,+0.45
110/07/01,26.75,26.90,26.60,26.65,-0.20
110/07/02,26.65,26.80,26.50,26.50,-0.15
110/07/05,26.60,27.15,26.60,27.10,+0.60
110/07/06,27.35,27.80,27.20,27.50,+0.40
110/07/07,27.45,27.45,26.90,27.00,-0.50
110/07/08,27.25,27.30,27.10,27.15,+0.15
110/07/12,25.65,25.80,25.40,25.50,-0.05
110/07/13,25.55,25.60,25.30,25.40,-0.10
110/07/14,25.45,25.60,25.35,25.35,-0.05
110/07/15,25.30,25.55,25.25,25.45,+0.10
110/07/16,25.45,25.90,25.40,25.90,+0.45
110/07/19,25.75,25.90,25.60,25.80,-0.10
110/07/20,25.65,25.65,25.45,25.55,-0.25
110/07/21,25.55,25.60,25.25,25.40,-0.15
110/07/22,25.40,25.65,25.40,25.55,+0.15
110/07/23,25.65,25.75,25.65,25.70,+0.15
110/07/26,25.70,25.75,25.30,25.30,-0.40
110/07/27,25.40,25.40,25.10,25.20,-0.10
110/07/28,25.00,25.15,24.85,25.05,-0.15
110/07/29,25.05,25.40,25.00,25.35,+0.30
110/07/30,25.15,25.40,25.15,25.40,+0.05
110/08/02,25.45,25.65,25.30,25.65,+0.25
110/08/03,25.80,25.80,25.55,25.80,+0.15
110/08/04,25.75,25.85,25.70,25.85,+0.05
110/08/05,25.85,25.95,25.75,25.95,+0.10
110/08/06,25.90,25.90,25.65,25.70,-0.25
110/08/09,25.60,25.80,25.35,25.80,+0.10
110/08/10,25.70,25.80,25.30,25.60,-0.20
110/08/11,25.45,25.50,23.80,24.25,-1.35
110/08/12,24.30,24.65,24.10,24.40,+0.15
110/08/13,24.45,24.45,23.55,23.70,-0.70
110/08/16,23.75,24.30,23.75,24.05,+0.35
110/08/17,24.05,24.05,23.45,23.70,-0.35
110/08/18,23.50,23.95,23.20,23.90,+0.20
110/08/19,23.80,24.00,23.15,23.35,-0.55
110/08/20,23.70,23.85,23.30,23.65,+0.30
110/08/23,23.95,24.25,23.90,24.15,+0.50
110/08/24,24.20,24.50,24.05,24.45,+0.30
110/08/25,24.50,24.50,24.15,24.50,+0.05
110/08/26,24.50,24.55,24.15,24.30,-0.20
110/08/27,24.20,24.60,24.15,24.60,+0.30
110/08/30,24.60,25.00,24.60,25.00,+0.40
110/08/31,24.90,25.00,24.50,25.00, 0.00
110/09/01,24.60,25.00,24.60,24.90,-0.10
110/09/02,24.65,24.80,24.50,24.50,-0.40
110/09/03,24.60,24.80,24.50,24.70,+0.20
110/09/06,24.70,24.70,24.45,24.50,-0.20
110/09/07,24.50,24.50,24.25,24.30,-0.20
110/09/08,24.55,24.75,24.50,24.65,+0.35
110/09/09,24.50,24.65,24.45,24.60,-0.05
110/09/10,24.60,24.85,24.60,24.75,+0.15
110/09/13,24.75,24.95,24.70,24.95,+0.20
110/09/14,25.00,25.30,24.95,25.10,+0.15
110/09/15,25.05,25.10,24.90,25.10, 0.00
110/09/16,25.00,25.20,25.00,25.05,-0.05
110/09/17,25.05,25.10,24.75,24.75,-0.30
110/09/22,24.45,24.50,24.15,24.30,-0.45
110/09/23,24.50,24.80,24.45,24.80,+0.50
110/09/24,24.90,24.95,24.55,24.65,-0.15
110/09/27,24.65,24.90,24.50,24.80,+0.15
110/09/28,24.60,24.80,24.55,24.60,-0.20
110/09/29,24.50,24.60,24.30,24.40,-0.20
110/09/30,24.40,24.75,24.35,24.70,+0.30
110/10/01,24.50,24.60,24.10,24.20,-0.50
110/10/04,24.25,24.35,24.15,24.20, 0.00
110/10/05,24.10,24.20,23.95,24.05,-0.15
110/10/06,24.20,24.60,24.10,24.45,+0.40
110/10/07,24.55,24.60,24.40,24.55,+0.10
110/10/08,24.75,24.75,24.45,24.45,-0.10
110/10/12,24.25,24.50,24.15,24.50,+0.05
110/10/13,24.60,24.70,24.40,24.40,-0.10
110/10/14,24.55,24.60,24.20,24.20,-0.20
110/10/15,24.25,24.70,24.25,24.70,+0.50
110/10/18,24.70,25.00,24.65,24.95,+0.25
110/10/19,25.10,25.10,24.70,24.75,-0.20
110/10/20,24.80,24.90,24.50,24.80,+0.05
110/10/21,24.85,25.00,24.70,25.00,+0.20
110/10/22,24.80,24.90,24.65,24.70,-0.30
110/10/25,24.65,24.80,24.55,24.60,-0.10
110/10/26,24.75,25.00,24.70,24.95,+0.35
110/10/27,24.80,24.95,24.75,24.90,-0.05
110/10/28,24.75,24.95,24.75,24.85,-0.05
110/10/29,24.70,24.80,24.50,24.70,-0.15
110/11/01,24.75,24.85,24.55,24.55,-0.15
110/11/02,24.60,24.70,24.35,24.35,-0.20
110/11/03,24.40,24.55,24.40,24.50,+0.15
110/11/04,24.60,24.70,24.50,24.50, 0.00
110/11/05,24.45,24.65,24.40,24.65,+0.15
110/11/08,24.65,24.70,24.55,24.70,+0.05
110/11/09,24.70,24.70,23.70,24.20,-0.50
110/11/10,24.30,24.45,24.25,24.45,+0.25
110/11/11,24.40,24.45,24.30,24.35,-0.10
110/11/12,24.40,24.55,24.35,24.50,+0.15
110/11/15,24.55,24.80,24.55,24.75,+0.25
110/11/16,24.75,24.90,24.70,24.85,+0.10
110/11/17,24.85,25.15,24.80,25.15,+0.30
110/11/18,25.20,25.40,25.05,25.10,-0.05
110/11/19,25.20,25.20,24.90,25.05,-0.05
110/11/22,25.05,25.10,24.95,25.00,-0.05
110/11/23,24.90,25.00,24.70,24.75,-0.25
110/11/24,24.90,25.10,24.80,24.90,+0.15
110/11/25,24.95,25.00,24.70,24.90, 0.00
110/11/26,24.60,24.80,24.45,24.45,-0.45
110/11/29,24.25,24.50,24.15,24.30,-0.15
110/11/30,24.25,24.50,23.70,23.70,-0.60
110/12/01,23.90,24.45,23.90,24.35,+0.65
110/12/02,24.20,24.75,24.20,24.55,+0.20
110/12/03,24.60,24.85,24.55,24.75,+0.20
110/12/06,24.60,24.95,24.50,24.90,+0.15
110/12/07,24.80,24.95,24.70,24.95,+0.05
