Date,Close,Price_Change,MACD,KD_diff,RSI,MA_5_to_10,MA_10_to_20,MA_5_to_20
2020/02/07,20.3,0.09999999999999787,-0.00803404147131559,0.07465876436781615,55.172413793103466,0.0,0.0024999999999977263,0.0024999999999977263
2020/02/10,20.4,-0.09999999999999787,0.014088272609690478,0.06762751436781578,55.172413793103416,0.120000000000001,-0.007500000000000284,0.11250000000000071
2020/02/11,20.3,-0.25,0.023282811874185683,0.03229615660919549,51.72413793103452,0.18999999999999773,-0.030000000000001137,0.1599999999999966
2020/02/12,20.05,0.09999999999999787,0.010278159595664249,-0.026277388649425193,44.999999999999964,0.21999999999999886,-0.09500000000000242,0.12499999999999645
2020/02/13,20.15,0.0,0.007949407416248278,-0.01768476113505768,45.90163934426228,0.120000000000001,-0.027499999999999858,0.09250000000000114
2020/02/14,20.15,0.0,0.0060342949404486035,-0.011115413972701438,45.90163934426228,0.045000000000001705,0.0,0.045000000000001705
2020/02/17,20.15,0.05000000000000071,0.004465083799122027,-0.006694223688937018,44.067796610169445,-0.03999999999999915,0.027499999999999858,-0.01249999999999929
2020/02/18,20.2,0.10000000000000142,0.007173364713473518,0.04400129647090523,42.105263157894726,-0.07500000000000284,0.03749999999999787,-0.037500000000004974
2020/02/19,20.3,0.0,0.017190697455905735,0.0665081857264731,78.78787878787885,-0.03499999999999659,0.042499999999996874,0.007500000000000284
2020/02/20,20.3,-0.05000000000000071,0.02484312969050606,0.05550786160874688,73.07692307692318,-0.010000000000001563,0.05000000000000071,0.03999999999999915
2020/02/21,20.25,-0.3999999999999986,0.026566908453336424,0.007630815177128603,68.00000000000003,0.015000000000000568,0.05249999999999844,0.067499999999999
2020/02/24,19.85,-0.10000000000000142,-0.00429414133024153,-0.1580318645107721,42.857142857142854,0.010000000000001563,0.02499999999999858,0.03500000000000014
2020/02/25,19.75,-0.25,-0.03640129838198547,-0.16440385401934016,33.33333333333333,-0.024999999999995026,0.007500000000000284,-0.017499999999994742
2020/02/26,19.5,-0.3000000000000007,-0.08108466874010745,-0.14364588789164737,25.806451612903174,-0.129999999999999,0.00999999999999801,-0.120000000000001
2020/02/27,19.2,-0.25,-0.13910058946239445,-0.1150449243868125,19.444444444444358,-0.254999999999999,-0.07749999999999702,-0.332499999999996
2020/03/02,18.95,0.25,-0.20291248644467785,-0.005962720706583741,12.820512820512832,-0.3949999999999996,-0.1600000000000037,-0.5550000000000033
2020/03/03,19.2,0.10000000000000142,-0.23065214947700952,0.05328631526816821,23.809523809523782,-0.4299999999999997,-0.22500000000000142,-0.6550000000000011
2020/03/04,19.3,0.1999999999999993,-0.24177978120345855,0.06697211739603387,30.769230769230802,-0.43000000000000327,-0.27749999999999986,-0.7075000000000031
2020/03/05,19.5,-0.4499999999999993,-0.23178827009223113,0.07804078248143076,34.1463414634147,-0.3500000000000014,-0.32249999999999446,-0.6724999999999959
2020/03/06,19.05,-0.6500000000000021,-0.25721613722625847,0.006419704351934508,28.00000000000007,-0.25500000000000256,-0.38749999999999574,-0.6424999999999983
2020/03/09,18.4,0.10000000000000142,-0.326058869171991,-0.08655158302219815,22.22222222222227,-0.17999999999999972,-0.47749999999999915,-0.6574999999999989
2020/03/10,18.5,-0.25,-0.3683025039537249,-0.05218893058941157,23.437500000000057,-0.18499999999999872,-0.5175000000000018,-0.7025000000000006
2020/03/11,18.25,-0.75,-0.4171452092219958,-0.057146779514713114,19.402985074626912,-0.24499999999999744,-0.5650000000000013,-0.8099999999999987
2020/03/12,17.5,-0.10000000000000142,-0.5104875542701066,-0.04924711035397655,15.8536585365854,-0.4450000000000003,-0.6374999999999993,-1.0824999999999996
2020/03/13,17.4,-0.9499999999999993,-0.5857787071793616,0.035330305353056896,15.66265060240967,-0.5949999999999989,-0.6800000000000033,-1.2750000000000021
2020/03/16,16.45,-0.8499999999999996,-0.713875437154659,-0.009556890924089428,13.82978723404257,-0.735000000000003,-0.745000000000001,-1.480000000000004
2020/03/17,15.6,-0.049999999999998934,-0.8739070582218602,-0.04761024648313282,11.926605504587172,-0.9550000000000018,-0.8774999999999977,-1.8324999999999996
2020/03/18,15.55,-1.5500000000000007,-0.9933175071124332,-0.02022102375211042,12.380952380952408,-1.1199999999999974,-1.0200000000000031,-2.1400000000000006
2020/03/19,14.0,1.25,-1.199199568127984,-0.03331846213132726,10.000000000000028,-1.2699999999999996,-1.254999999999999,-2.5249999999999986
2020/03/20,15.25,-1.0500000000000007,-1.2471219855261744,0.027540365235271758,25.333333333333357,-1.3199999999999967,-1.3825000000000038,-2.7025000000000006
2020/03/23,14.2,1.0,-1.3542165064446827,-0.011005019231896437,19.879518072289173,-1.350000000000005,-1.5,-2.850000000000005
2020/03/24,15.2,0.5500000000000007,-1.3429177236150913,0.026752746602142746,27.717391304347828,-1.1000000000000014,-1.5975000000000001,-2.6975000000000016
2020/03/25,15.75,-0.15000000000000036,-1.2748868513284854,0.056207802196486495,30.36649214659687,-0.8100000000000005,-1.6474999999999973,-2.457499999999998
