,,,,,,,,,110年04月 2885 元大金           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/04/01,"14,518,696","326,427,918",22.60,22.65,22.40,22.40,-0.10,"4,404",
110/04/06,"13,424,063","302,721,855",22.55,22.65,22.50,22.50,+0.10,"4,097",
110/04/07,"11,888,286","268,695,214",22.65,22.65,22.55,22.60,+0.10,"3,543",
110/04/08,"10,458,885","236,747,888",22.65,22.70,22.55,22.70,+0.10,"3,426",
110/04/09,"27,028,017","621,290,883",23.05,23.05,22.90,23.00,+0.30,"8,081",
110/04/12,"26,207,951","609,429,956",23.05,23.40,23.05,23.35,+0.35,"6,929",
110/04/13,"25,481,553","595,196,033",23.45,23.55,23.10,23.15,-0.20,"7,160",
110/04/14,"24,226,056","561,844,132",23.20,23.30,23.05,23.30,+0.15,"6,633",
110/04/15,"38,430,395","911,204,851",23.35,24.00,23.30,24.00,+0.70,"10,503",
110/04/16,"52,435,226","1,279,486,363",24.00,24.75,24.00,24.75,+0.75,"13,090",
110/04/19,"59,857,338","1,534,893,151",24.90,26.20,24.85,26.10,+1.35,"17,571",
110/04/20,"45,655,445","1,177,277,754",26.05,26.05,25.55,26.00,-0.10,"13,922",
110/04/21,"44,181,655","1,137,879,273",25.75,26.15,25.45,25.70,-0.30,"14,074",
110/04/22,"49,734,166","1,299,405,932",25.85,26.65,25.65,25.95,+0.25,"14,310",
110/04/23,"29,428,146","765,062,194",26.20,26.40,25.80,25.90,-0.05,"8,654",
110/04/26,"38,803,467","1,021,200,723",26.15,26.50,26.05,26.50,+0.60,"11,735",
110/04/27,"22,684,431","597,979,534",26.55,26.55,26.25,26.35,-0.15,"7,464",
110/04/28,"22,272,990","582,936,204",26.30,26.40,26.05,26.10,-0.25,"6,927",
110/04/29,"34,038,787","885,795,352",26.00,26.30,25.75,26.00,-0.10,"7,733",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
