,,,,,,,,,110年09月 2885 元大金           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/09/01,"16,538,257","411,007,306",24.60,25.00,24.60,24.90,-0.10,"5,985",
110/09/02,"17,401,292","427,609,177",24.65,24.80,24.50,24.50,-0.40,"6,374",
110/09/03,"13,007,288","320,797,090",24.60,24.80,24.50,24.70,+0.20,"3,667",
110/09/06,"16,142,882","395,658,698",24.70,24.70,24.45,24.50,-0.20,"5,220",
110/09/07,"19,384,434","471,857,284",24.50,24.50,24.25,24.30,-0.20,"5,120",
110/09/08,"21,806,599","537,253,467",24.55,24.75,24.50,24.65,+0.35,"6,348",
110/09/09,"13,098,212","321,467,569",24.50,24.65,24.45,24.60,-0.05,"2,839",
110/09/10,"13,405,339","331,783,410",24.60,24.85,24.60,24.75,+0.15,"3,849",
110/09/13,"12,739,615","317,070,424",24.75,24.95,24.70,24.95,+0.20,"3,621",
110/09/14,"18,021,236","451,746,379",25.00,25.30,24.95,25.10,+0.15,"4,928",
110/09/15,"16,232,497","406,398,680",25.05,25.10,24.90,25.10, 0.00,"4,560",
110/09/16,"16,890,389","423,546,346",25.00,25.20,25.00,25.05,-0.05,"5,111",
110/09/17,"29,411,992","731,175,872",25.05,25.10,24.75,24.75,-0.30,"5,020",
110/09/22,"25,245,614","613,832,888",24.45,24.50,24.15,24.30,-0.45,"7,246",
110/09/23,"11,128,558","274,693,310",24.50,24.80,24.45,24.80,+0.50,"3,056",
110/09/24,"7,658,814","189,281,500",24.90,24.95,24.55,24.65,-0.15,"3,063",
110/09/27,"12,835,971","317,963,733",24.65,24.90,24.50,24.80,+0.15,"3,809",
110/09/28,"8,108,303","199,865,475",24.60,24.80,24.55,24.60,-0.20,"2,686",
110/09/29,"16,971,564","413,870,948",24.50,24.60,24.30,24.40,-0.20,"4,981",
110/09/30,"13,096,063","321,748,282",24.40,24.75,24.35,24.70,+0.30,"2,757",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
