,,,,,,,,,110年12月 2885 元大金           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/12/01,"45,488,819","1,098,355,144",23.90,24.45,23.90,24.35,+0.65,"8,596",
110/12/02,"23,536,299","577,024,094",24.20,24.75,24.20,24.55,+0.20,"6,146",
110/12/03,"17,859,042","441,844,107",24.60,24.85,24.55,24.75,+0.20,"4,701",
110/12/06,"13,313,698","330,501,134",24.60,24.95,24.50,24.90,+0.15,"5,749",
110/12/07,"14,707,365","365,373,375",24.80,24.95,24.70,24.95,+0.05,"4,484",
110/12/08,"41,244,226","1,031,890,937",25.05,25.10,24.90,25.05,+0.10,"10,323",
110/12/09,"28,036,116","701,959,704",25.10,25.25,24.95,25.00,-0.05,"6,609",
110/12/10,"19,971,295","497,850,855",25.00,25.05,24.85,24.95,-0.05,"6,288",
110/12/13,"13,484,480","337,362,056",25.00,25.10,24.95,25.00,+0.05,"3,987",
110/12/14,"14,833,521","366,875,529",24.85,24.85,24.65,24.70,-0.30,"4,547",
110/12/15,"10,700,176","264,497,143",24.65,24.80,24.65,24.70, 0.00,"3,775",
110/12/16,"8,882,450","220,134,999",24.80,24.85,24.70,24.85,+0.15,"3,145",
110/12/17,"16,178,488","404,456,846",24.85,25.10,24.75,25.05,+0.20,"3,325",
110/12/20,"16,846,309","415,870,371",24.80,24.85,24.60,24.65,-0.40,"5,734",
110/12/21,"12,107,056","299,912,246",24.60,24.95,24.60,24.75,+0.10,"2,501",
110/12/22,"6,122,340","151,922,626",24.90,24.95,24.75,24.80,+0.05,"2,340",
110/12/23,"9,341,974","232,799,136",24.85,25.00,24.80,24.95,+0.15,"2,356",
110/12/24,"6,311,715","157,728,998",25.00,25.05,24.90,25.00,+0.05,"2,133",
110/12/27,"5,450,402","136,159,154",25.00,25.05,24.90,25.00, 0.00,"2,136",
110/12/28,"12,845,633","321,323,051",25.00,25.05,24.95,25.05,+0.05,"3,209",
110/12/29,"17,791,252","449,165,197",25.05,25.30,25.05,25.30,+0.25,"5,728",
110/12/30,"10,901,176","276,088,279",25.30,25.40,25.25,25.30, 0.00,"4,070",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
