,,,,,,,,,109年01月 2317 鴻海             各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/01/02,"20,758,722","1,886,677,519",91.00,91.50,90.30,90.80, 0.00,"9,994",
109/01/03,"37,936,877","3,471,335,594",91.40,92.20,90.80,91.60,+0.80,"16,491",
109/01/06,"26,352,522","2,388,785,688",91.10,91.10,90.10,90.50,-1.10,"11,872",
109/01/07,"43,978,140","3,935,667,984",90.50,91.00,88.30,89.10,-1.40,"21,340",
109/01/08,"56,101,121","4,891,344,755",87.90,88.10,86.50,86.50,-2.60,"28,087",
109/01/09,"28,513,381","2,491,571,248",87.30,87.70,87.00,87.10,+0.60,"13,485",
109/01/10,"32,264,863","2,852,056,044",88.00,89.00,87.50,89.00,+1.90,"14,951",
109/01/13,"23,369,554","2,084,580,613",89.70,89.70,88.60,89.60,+0.60,"9,793",
109/01/14,"19,568,838","1,758,920,258",90.00,90.10,89.60,90.00,+0.40,"9,250",
109/01/15,"23,798,041","2,141,165,898",90.00,90.30,89.50,89.90,-0.10,"9,104",
109/01/16,"19,281,565","1,734,134,777",89.80,90.20,89.40,90.00,+0.10,"6,958",
109/01/17,"78,180,511","7,195,625,358",91.00,92.40,91.00,92.30,+2.30,"33,753",
109/01/20,"35,277,412","3,266,663,404",92.70,93.40,92.10,92.30, 0.00,"14,735",
109/01/30,"153,655,274","12,913,538,375",85.50,86.20,83.10,83.10,-9.20,"63,060",
109/01/31,"69,686,948","5,823,335,061",83.00,84.90,82.60,83.20,+0.10,"28,528",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
