,,,,,,,,,111年07月 2317 鴻海             各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/07/01,"63,133,602","6,758,749,961",108.50,109.00,105.50,106.00,-3.00,"32,535",
111/07/04,"70,995,980","7,140,989,017",100.50,102.00,99.50,100.00,X0.00,"32,374",
111/07/05,"45,713,186","4,669,649,468",102.00,103.00,101.00,102.50,+2.50,"20,422",
111/07/06,"45,875,699","4,653,042,441",103.00,103.50,100.50,100.50,-2.00,"22,660",
111/07/07,"41,084,778","4,210,411,576",101.00,103.50,100.50,103.50,+3.00,"15,382",
111/07/08,"35,186,757","3,613,971,179",103.50,104.00,101.50,102.00,-1.50,"15,471",
111/07/11,"18,971,045","1,917,673,836",102.00,102.00,100.50,101.00,-1.00,"10,175",
111/07/12,"26,222,208","2,629,265,988",100.00,101.00,99.70,100.50,-0.50,"13,954",
111/07/13,"32,354,911","3,333,763,591",103.00,103.50,102.50,102.50,+2.00,"15,547",
111/07/14,"46,239,887","4,831,039,581",102.50,106.00,102.50,105.00,+2.50,"18,374",
111/07/15,"25,505,254","2,682,379,312",105.00,106.00,104.50,105.00, 0.00,"10,272",
111/07/18,"17,083,253","1,789,285,264",105.00,105.50,104.00,105.00, 0.00,"8,324",
111/07/19,"20,535,363","2,138,674,698",104.50,105.00,103.50,104.00,-1.00,"10,417",
111/07/20,"35,585,856","3,703,922,190",104.00,105.00,103.00,103.50,-0.50,"17,562",
111/07/21,"24,149,090","2,529,832,035",104.00,105.50,103.50,105.50,+2.00,"9,269",
111/07/22,"29,400,418","3,117,384,373",105.50,106.50,105.00,106.00,+0.50,"11,003",
111/07/25,"41,471,982","4,448,057,977",106.00,108.00,105.50,107.50,+1.50,"14,188",
111/07/26,"23,277,125","2,508,249,267",108.00,108.50,107.00,108.00,+0.50,"10,247",
111/07/27,"30,876,807","3,344,846,475",108.50,109.50,107.50,108.00, 0.00,"13,670",
111/07/28,"21,932,255","2,378,939,021",109.00,109.00,108.00,108.50,+0.50,"11,572",
111/07/29,"21,951,559","2,389,538,354",109.00,109.50,108.50,109.00,+0.50,"9,079",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
