,,,,,,,,,109年06月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/06/01,"8,365,321","709,979,535",84.45,85.15,84.40,84.90,+0.45,"4,221",
109/06/02,"11,947,060","1,019,866,379",85.00,85.50,85.00,85.30,+0.40,"4,546",
109/06/03,"18,117,244","1,567,235,805",86.15,86.90,86.10,86.80,+1.50,"7,251",
109/06/04,"15,036,553","1,315,498,861",87.50,87.75,87.15,87.60,+0.80,"6,182",
109/06/05,"9,916,582","873,460,722",87.70,88.35,87.70,88.35,+0.75,"5,501",
109/06/08,"15,549,542","1,388,746,538",88.90,89.80,88.80,89.50,+1.15,"7,617",
109/06/09,"11,356,579","1,016,232,445",89.60,89.80,88.95,89.60,+0.10,"4,738",
109/06/10,"10,998,897","992,706,489",89.65,90.70,89.55,90.45,+0.85,"6,189",
109/06/11,"14,179,192","1,274,547,880",90.45,90.85,89.00,89.05,-1.40,"6,785",
109/06/12,"21,563,371","1,896,372,312",87.25,88.50,87.10,88.25,-0.80,"9,065",
109/06/15,"9,573,700","839,035,110",88.10,88.30,86.90,87.00,-1.25,"6,066",
109/06/16,"10,841,047","962,708,421",88.15,89.20,88.15,88.90,+1.90,"5,206",
109/06/17,"11,510,236","1,022,814,504",89.20,89.20,88.30,89.00,+0.10,"9,354",
109/06/18,"5,035,751","447,396,539",89.05,89.30,88.35,88.90,-0.10,"2,385",
109/06/19,"2,333,985","207,473,976",89.00,89.15,88.65,88.85,-0.05,"1,483",
109/06/22,"10,579,456","943,788,276",88.85,89.70,88.85,89.05,+0.20,"3,109",
109/06/23,"8,664,889","775,774,053",89.60,90.05,88.80,89.45,+0.40,"3,040",
109/06/24,"10,061,904","907,813,260",89.80,90.50,89.80,90.00,+0.55,"4,330",
109/06/29,"9,785,007","872,080,579",89.25,89.60,88.65,89.10,-0.90,"5,184",
109/06/30,"8,035,137","720,381,822",89.55,89.95,89.40,89.90,+0.80,"2,697",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
