,,,,,,,,,110年03月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/03/02,"7,501,387","1,010,256,514",135.50,135.65,133.45,133.45,+0.05,"10,851",
110/03/03,"8,596,895","1,154,467,890",133.75,135.40,132.70,135.40,+1.95,"8,407",
110/03/04,"17,641,322","2,341,433,954",134.35,134.35,131.70,132.75,-2.65,"27,088",
110/03/05,"14,721,332","1,927,803,083",130.05,132.60,129.50,131.95,-0.80,"17,078",
110/03/08,"12,425,275","1,646,769,774",133.75,133.80,131.50,131.85,-0.10,"13,253",
110/03/09,"13,755,992","1,797,274,857",130.55,131.60,129.75,131.35,-0.50,"16,324",
110/03/10,"5,608,897","740,047,666",132.30,132.60,131.40,131.90,+0.55,"8,636",
110/03/11,"9,343,919","1,253,580,767",132.05,134.95,132.05,134.70,+2.80,"8,659",
110/03/12,"5,700,896","770,243,301",135.25,135.65,134.50,135.25,+0.55,"6,513",
110/03/15,"3,852,212","519,490,377",135.25,135.25,134.45,134.90,-0.35,"6,120",
110/03/16,"6,868,571","928,771,155",135.45,135.65,134.75,135.35,+0.45,"7,042",
110/03/17,"6,923,261","931,947,167",135.35,135.40,134.00,134.20,-1.15,"9,793",
110/03/18,"7,050,890","954,824,165",135.10,136.05,134.80,134.90,+0.70,"5,861",
110/03/19,"10,691,849","1,419,477,837",133.45,133.50,132.30,132.80,-2.10,"18,811",
110/03/22,"5,510,347","731,825,252",132.40,133.60,131.60,133.40,+0.60,"7,159",
110/03/23,"6,994,160","937,937,176",133.90,134.70,133.60,133.60,+0.20,"4,759",
110/03/24,"11,082,813","1,459,923,222",131.80,132.45,131.30,131.50,-2.10,"20,959",
110/03/25,"5,186,148","681,481,755",131.10,132.55,130.60,131.95,+0.45,"8,602",
110/03/26,"8,134,654","1,087,961,095",133.05,134.40,132.55,134.35,+2.40,"8,197",
110/03/29,"8,323,344","1,128,219,385",135.20,135.90,135.05,135.45,+1.10,"7,882",
110/03/30,"4,937,584","669,668,601",135.80,135.95,135.20,135.90,+0.45,"5,898",
110/03/31,"7,829,355","1,057,200,674",135.80,135.80,134.60,134.75,-1.15,"8,619",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
