,,,,,,,,,109年04月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/04/01,"9,948,017","757,960,266",76.50,76.65,75.85,75.90,-0.25,"4,967",
109/04/06,"12,207,626","935,731,083",76.95,77.10,75.75,77.05,+1.15,"5,824",
109/04/07,"15,302,038","1,200,849,513",78.50,78.90,78.05,78.50,+1.45,"8,794",
109/04/08,"15,230,698","1,205,900,652",78.50,79.70,78.35,79.60,+1.10,"8,941",
109/04/09,"15,650,105","1,242,814,448",79.85,80.10,78.85,79.25,-0.35,"8,547",
109/04/10,"5,824,779","460,693,342",79.00,79.35,78.70,79.30,+0.05,"3,348",
109/04/13,"7,430,914","586,896,106",79.00,79.40,78.55,78.80,-0.50,"4,389",
109/04/14,"13,121,792","1,054,569,152",79.05,80.95,79.05,80.95,+2.15,"7,743",
109/04/15,"17,361,116","1,410,800,897",81.25,81.50,81.00,81.20,+0.25,"7,137",
109/04/16,"12,409,525","1,001,483,225",80.20,81.10,80.05,80.80,-0.40,"6,925",
109/04/17,"34,532,038","2,879,398,225",83.00,84.00,82.70,83.25,+2.45,"11,524",
109/04/20,"12,336,416","1,025,144,071",83.25,83.50,82.80,83.00,-0.25,"5,638",
109/04/21,"21,082,454","1,712,306,057",82.65,82.65,80.50,80.60,-2.40,"11,037",
109/04/22,"10,896,151","871,604,621",80.00,80.60,79.50,80.60, 0.00,"5,607",
109/04/23,"13,298,948","1,078,973,188",81.15,82.00,80.30,80.90,+0.30,"5,546",
109/04/24,"5,764,752","466,004,912",80.80,81.00,80.45,80.90, 0.00,"3,025",
109/04/27,"13,917,724","1,144,296,195",82.15,82.60,81.65,82.55,+1.65,"5,005",
109/04/28,"7,556,661","622,421,135",82.90,82.90,82.00,82.55, 0.00,"4,044",
109/04/29,"11,874,079","992,546,626",83.05,83.90,82.95,83.70,+1.15,"5,582",
109/04/30,"18,785,156","1,597,420,751",84.45,85.50,84.40,85.50,+1.80,"8,305",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
