,,,,,,,,,111年01月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/01/03,"7,064,552","1,034,974,917",146.00,147.35,146.00,146.40,+0.90,"8,298",
111/01/04,"10,122,789","1,507,398,153",147.70,149.60,147.70,149.60,+3.20,"10,438",
111/01/05,"11,730,618","1,755,680,824",150.10,150.55,149.10,149.30,-0.30,"12,614",
111/01/06,"9,085,138","1,342,084,958",148.30,148.75,147.00,147.90,-1.40,"13,496",
111/01/07,"7,435,645","1,095,365,963",148.30,149.00,146.50,146.60,-1.30,"12,008",
111/01/10,"15,979,639","2,346,043,879",146.00,147.80,145.40,147.55,+0.95,"8,675",
111/01/11,"17,984,061","2,655,717,032",147.60,148.50,146.70,148.30,+0.75,"8,365",
111/01/12,"10,326,119","1,541,003,375",149.35,149.60,148.70,149.55,+1.25,"6,551",
111/01/13,"7,680,333","1,152,220,355",149.55,150.45,149.55,150.30,+0.75,"7,281",
111/01/14,"10,400,081","1,560,843,189",150.80,151.20,149.05,150.30, 0.00,"9,178",
111/01/17,"7,202,412","1,093,229,361",151.10,152.40,151.10,152.00,+1.70,"9,817",
111/01/18,"14,811,991","2,242,827,500",152.20,152.25,150.15,150.30,-1.70,"12,127",
111/01/19,"15,371,288","2,288,127,587",149.00,149.65,148.25,148.50,-1.80,"18,846",
111/01/20,"16,845,120","2,499,682,717",148.50,149.20,147.60,149.10,+0.60,"16,497",
111/01/21,"32,475,644","4,649,317,826",143.90,143.95,142.30,142.65,X0.00,"53,966",
111/01/24,"13,767,241","1,965,019,247",142.10,144.00,141.70,144.00,+1.35,"17,460",
111/01/25,"25,646,145","3,632,621,711",142.55,142.55,141.25,141.65,-2.35,"39,744",
111/01/26,"18,559,075","2,629,997,366",141.15,142.20,141.05,141.55,-0.10,"21,586",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
