,,,,,,,,,110年12月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/12/01,"4,329,326","603,377,795",138.10,140.50,138.05,140.30,+2.30,"5,203",
110/12/02,"9,133,260","1,292,045,173",140.10,141.95,139.70,141.80,+1.50,"9,601",
110/12/03,"4,946,614","700,928,903",141.95,142.15,141.10,141.75,-0.05,"4,496",
110/12/06,"4,060,985","573,477,544",140.70,141.90,140.00,141.35,-0.40,"7,070",
110/12/07,"3,157,948","444,889,939",141.35,141.80,140.35,141.80,+0.45,"4,881",
110/12/08,"11,183,297","1,596,995,575",143.10,143.60,142.30,142.35,+0.55,"9,108",
110/12/09,"4,675,110","664,504,401",142.45,142.65,141.70,142.00,-0.35,"4,259",
110/12/10,"3,436,577","487,665,365",141.80,142.10,141.35,141.95,-0.05,"4,855",
110/12/13,"4,759,881","676,100,133",142.20,142.45,141.50,141.50,-0.45,"5,027",
110/12/14,"5,027,334","705,014,383",140.35,140.70,139.95,140.10,-1.40,"9,424",
110/12/15,"10,117,615","1,416,798,965",140.10,140.60,139.70,140.30,+0.20,"11,074",
110/12/16,"5,763,811","816,635,782",141.35,142.05,141.15,142.05,+1.75,"6,419",
110/12/17,"4,979,845","706,093,154",141.55,142.00,141.20,141.90,-0.15,"5,392",
110/12/20,"4,582,532","645,465,862",141.80,141.85,140.30,140.65,-1.25,"7,866",
110/12/21,"6,716,896","951,161,400",140.70,141.95,140.70,141.85,+1.20,"4,760",
110/12/22,"4,146,304","588,113,850",141.95,142.00,141.65,141.85, 0.00,"3,235",
110/12/23,"14,116,987","2,012,988,793",142.75,143.20,142.25,142.65,+0.80,"5,310",
110/12/24,"12,807,935","1,835,254,135",143.00,143.60,142.95,143.05,+0.40,"8,437",
110/12/27,"6,838,963","984,397,159",143.20,144.25,143.10,144.15,+1.10,"8,693",
110/12/28,"22,888,176","3,315,969,575",144.30,145.30,144.30,145.30,+1.15,"9,328",
110/12/29,"22,807,731","3,319,821,967",145.45,146.15,145.05,145.95,+0.65,"7,510",
110/12/30,"6,421,410","935,379,902",145.95,146.00,145.35,145.50,-0.45,"5,369",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
