,,,,,,,,,109年02月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/02/03,"15,823,593","1,401,640,343",88.50,89.15,87.60,89.05,-0.90,"7,843",
109/02/04,"8,904,471","804,708,649",89.45,90.95,89.20,90.60,+1.55,"4,851",
109/02/05,"6,701,508","609,037,681",91.00,91.30,90.30,90.85,+0.25,"4,001",
109/02/06,"10,696,477","982,277,669",91.65,92.30,91.35,92.30,+1.45,"4,113",
109/02/07,"9,554,828","871,832,328",91.65,91.65,90.95,91.20,-1.10,"4,992",
109/02/10,"7,308,908","661,411,947",90.00,91.20,89.60,91.00,-0.20,"3,838",
109/02/11,"5,115,402","468,988,015",91.35,91.95,91.35,91.75,+0.75,"3,724",
109/02/12,"5,640,117","521,567,062",92.00,92.90,92.00,92.65,+0.90,"2,845",
109/02/13,"5,754,317","534,947,681",93.00,93.25,92.70,92.80,+0.15,"2,530",
109/02/14,"4,988,165","463,738,591",92.80,93.25,92.55,92.95,+0.15,"2,592",
109/02/17,"6,266,211","578,240,762",92.30,92.55,91.95,92.30,-0.65,"2,983",
109/02/18,"12,529,356","1,143,154,993",91.40,91.60,91.00,91.05,-1.25,"6,041",
109/02/19,"7,947,011","730,212,458",91.15,92.25,91.05,92.10,+1.05,"3,934",
109/02/20,"6,538,336","599,664,476",92.35,92.50,91.35,91.70,-0.40,"2,619",
109/02/21,"5,401,188","493,195,200",91.65,91.95,90.95,91.25,-0.45,"2,963",
109/02/24,"13,571,936","1,222,019,338",90.25,90.40,89.70,90.10,-1.15,"7,797",
109/02/25,"8,840,104","796,170,580",89.50,90.50,89.45,90.35,+0.25,"3,943",
109/02/26,"15,256,003","1,362,216,157",89.15,89.75,88.90,89.45,-0.90,"7,889",
109/02/27,"24,688,054","2,190,387,154",89.35,89.50,88.35,88.65,-0.80,"12,829",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
