,,,,,,,,,109年08月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/08/03,"7,258,914","744,236,128",103.45,103.50,102.00,102.00,-1.80,"4,831",
109/08/04,"4,798,147","493,967,922",102.55,103.35,102.55,103.30,+1.30,"3,057",
109/08/05,"5,106,381","531,964,659",104.10,104.50,103.75,104.30,+1.00,"3,080",
109/08/06,"7,430,095","783,441,756",105.45,105.95,104.85,105.40,+1.10,"4,239",
109/08/07,"6,803,730","712,917,364",105.55,105.55,104.30,104.65,-0.75,"3,541",
109/08/10,"5,905,752","622,370,140",104.10,105.85,104.10,105.60,+0.95,"4,997",
109/08/11,"3,199,141","336,459,703",105.40,105.65,104.75,104.80,-0.80,"2,468",
109/08/12,"5,916,723","611,921,693",104.00,104.00,103.00,103.25,-1.55,"3,418",
109/08/13,"5,461,251","570,110,533",104.70,104.90,104.05,104.25,+1.00,"2,280",
109/08/14,"3,779,950","393,960,616",103.80,104.50,103.50,104.50,+0.25,"2,051",
109/08/17,"5,641,660","593,122,510",104.50,105.70,104.25,105.60,+1.10,"3,812",
109/08/18,"3,745,611","393,780,655",105.70,105.90,104.65,105.00,-0.60,"2,556",
109/08/19,"6,043,314","631,939,609",105.00,105.45,104.10,104.25,-0.75,"5,186",
109/08/20,"18,738,215","1,897,013,023",103.80,103.80,98.70,100.60,-3.65,"11,099",
109/08/21,"8,132,713","832,420,919",102.15,103.00,101.70,102.80,+2.20,"5,138",
109/08/24,"3,718,559","383,234,215",102.85,103.55,102.30,103.10,+0.30,"2,576",
109/08/25,"3,609,809","375,149,258",103.45,104.35,103.35,103.90,+0.80,"2,447",
109/08/26,"2,665,520","277,638,503",104.00,104.35,103.60,104.30,+0.40,"2,573",
109/08/27,"5,706,106","599,909,101",105.10,105.70,104.45,104.55,+0.25,"2,953",
109/08/28,"3,913,299","405,257,434",103.85,104.25,103.00,103.50,-1.05,"2,680",
109/08/31,"5,759,933","593,120,338",104.10,104.25,101.80,101.80,-1.70,"3,452",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
