,,,,,,,,,109年11月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/11/02,"10,228,786","1,050,887,316",103.15,103.45,102.30,103.40,+0.40,"8,143",
109/11/03,"4,444,060","464,333,020",104.20,104.85,104.05,104.60,+1.20,"4,393",
109/11/04,"5,081,769","536,537,006",105.00,106.20,104.70,106.15,+1.55,"4,542",
109/11/05,"4,331,427","459,148,329",106.20,106.40,105.55,106.05,-0.10,"3,321",
109/11/06,"6,315,479","674,047,631",106.35,107.05,106.30,106.70,+0.65,"7,927",
109/11/09,"11,429,760","1,234,448,730",107.75,108.40,107.25,108.10,+1.40,"7,084",
109/11/10,"4,451,469","478,029,991",108.00,108.00,106.80,107.10,-1.00,"4,098",
109/11/11,"8,631,279","935,036,530",107.10,108.75,107.10,108.75,+1.65,"5,765",
109/11/12,"3,870,766","421,927,706",109.00,109.40,108.70,108.80,+0.05,"3,172",
109/11/13,"3,829,664","417,113,986",108.60,109.30,108.45,109.25,+0.45,"3,049",
109/11/16,"9,421,082","1,052,631,798",110.40,112.80,110.40,112.80,+3.55,"8,277",
109/11/17,"8,297,028","945,842,517",115.00,115.75,113.40,113.60,+0.80,"6,274",
109/11/18,"19,747,534","2,254,742,494",113.60,114.95,113.15,114.35,+0.75,"18,354",
109/11/19,"4,505,205","514,299,847",114.45,114.55,113.80,114.15,-0.20,"3,786",
109/11/20,"4,800,675","546,485,967",114.15,114.15,113.35,114.00,-0.15,"3,751",
109/11/23,"5,800,114","668,881,804",114.65,115.85,114.65,115.45,+1.45,"4,322",
109/11/24,"6,181,698","712,360,322",115.95,115.95,114.75,114.90,-0.55,"4,988",
109/11/25,"4,184,128","479,175,012",115.70,115.70,113.90,113.95,-0.95,"5,005",
109/11/26,"2,561,228","293,607,672",114.05,115.00,114.05,114.85,+0.90,"3,146",
109/11/27,"5,329,935","609,955,495",114.50,114.85,114.10,114.65,-0.20,"3,372",
109/11/30,"9,569,902","1,092,174,851",114.80,115.15,113.30,113.30,-1.35,"7,844",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
