,,,,,,,,,110年09月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/09/01,"18,843,757","2,654,655,259",140.15,141.30,140.05,141.00,+0.65,"13,396",
110/09/02,"7,218,178","1,015,442,778",140.90,141.40,139.90,139.90,-1.10,"6,517",
110/09/03,"11,543,959","1,634,417,680",140.65,142.10,140.45,141.90,+2.00,"10,027",
110/09/06,"14,283,400","2,037,715,398",141.90,143.50,141.60,142.55,+0.65,"14,230",
110/09/07,"8,413,574","1,194,822,412",142.80,142.80,141.45,141.90,-0.65,"7,538",
110/09/08,"7,239,389","1,019,366,042",141.75,142.00,139.95,140.65,-1.25,"9,015",
110/09/09,"3,194,199","447,668,012",139.65,141.00,139.30,140.30,-0.35,"4,400",
110/09/10,"3,165,128","448,120,950",140.70,142.10,140.50,141.95,+1.65,"5,203",
110/09/13,"3,348,806","473,494,037",141.85,141.85,141.15,141.45,-0.50,"3,899",
110/09/14,"2,513,428","356,460,422",141.85,142.20,141.35,141.60,+0.15,"2,824",
110/09/15,"12,135,597","1,709,846,643",141.30,141.45,140.40,140.75,-0.85,"12,872",
110/09/16,"8,202,035","1,150,003,927",140.80,141.00,139.75,140.10,-0.65,"6,836",
110/09/17,"3,858,456","541,563,536",140.10,141.05,139.50,140.50,+0.40,"3,815",
110/09/22,"25,084,805","3,435,002,639",137.10,137.60,136.30,137.20,-3.30,"28,707",
110/09/23,"5,915,660","816,669,288",138.00,138.50,137.60,138.00,+0.80,"5,666",
110/09/24,"6,297,547","877,424,900",138.80,139.65,138.70,139.65,+1.65,"4,748",
110/09/27,"11,877,695","1,660,910,631",139.85,140.35,139.20,140.00,+0.35,"6,647",
110/09/28,"17,896,339","2,484,681,382",139.25,139.35,138.25,139.00,-1.00,"6,867",
110/09/29,"31,469,085","4,284,361,418",136.90,136.90,135.45,136.00,-3.00,"43,917",
110/09/30,"16,919,613","2,303,685,576",136.30,137.10,135.20,137.05,+1.05,"9,983",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
