,,,,,,,,,110年04月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/04/01,"7,419,804","1,007,813,912",135.70,136.05,135.20,135.75,+1.00,"6,863",
110/04/06,"9,539,511","1,315,017,720",138.30,138.30,137.25,137.65,+1.90,"10,501",
110/04/07,"4,477,900","616,257,780",137.70,137.95,137.15,137.80,+0.15,"6,799",
110/04/08,"6,467,189","890,757,368",137.35,138.25,136.65,138.25,+0.45,"7,006",
110/04/09,"3,762,585","519,688,684",138.85,138.90,137.65,137.95,-0.30,"5,619",
110/04/12,"6,145,704","844,165,036",138.05,138.40,136.65,137.15,-0.80,"8,315",
110/04/13,"5,823,793","804,091,513",137.20,138.80,137.00,137.15, 0.00,"6,884",
110/04/14,"6,608,307","905,363,241",137.35,137.90,136.05,137.90,+0.75,"7,261",
110/04/15,"7,802,826","1,080,396,590",138.05,139.05,137.60,139.05,+1.15,"7,781",
110/04/16,"11,331,158","1,573,488,224",138.90,139.25,138.40,139.25,+0.20,"8,180",
110/04/19,"8,221,039","1,145,154,942",139.25,139.75,138.65,139.50,+0.25,"6,575",
110/04/20,"4,898,074","681,738,871",138.85,139.55,138.80,139.25,-0.25,"6,290",
110/04/21,"8,098,256","1,119,460,883",138.95,138.95,138.00,138.00,-1.25,"10,126",
110/04/22,"4,152,152","574,280,227",138.55,139.05,137.70,137.90,-0.10,"5,322",
110/04/23,"6,127,836","848,868,654",137.90,139.15,137.40,139.15,+1.25,"5,207",
110/04/26,"12,215,063","1,717,301,989",140.00,141.35,139.90,141.20,+2.05,"11,503",
110/04/27,"6,750,710","953,806,604",141.20,141.70,140.80,141.25,+0.05,"5,929",
110/04/28,"3,106,978","436,811,318",141.25,141.25,140.20,140.40,-0.85,"4,480",
110/04/29,"9,026,319","1,276,309,167",141.00,142.00,140.60,140.60,+0.20,"5,454",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
