,,,,,,,,,110年10月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
110/10/01,"28,939,270","3,888,671,030",136.30,136.30,133.65,133.95,-3.10,"44,143",
110/10/04,"24,299,469","3,240,409,636",134.70,134.80,132.85,133.15,-0.80,"27,766",
110/10/05,"28,469,257","3,753,464,098",132.00,133.00,130.90,132.95,-0.20,"36,809",
110/10/06,"22,785,877","3,024,603,640",134.00,134.00,132.00,133.00,+0.05,"24,818",
110/10/07,"13,826,376","1,866,323,932",134.05,135.60,133.95,135.35,+2.35,"9,745",
110/10/08,"7,988,089","1,075,930,310",135.65,135.65,133.95,134.20,-1.15,"9,574",
110/10/12,"11,588,565","1,533,572,691",132.70,133.15,131.60,132.85,-1.35,"16,091",
110/10/13,"5,741,940","761,389,812",133.40,133.60,132.15,132.40,-0.45,"9,324",
110/10/14,"3,441,729","457,703,545",133.50,133.70,132.50,132.75,+0.35,"5,211",
110/10/15,"13,728,479","1,862,428,212",134.65,136.35,134.30,136.25,+3.50,"11,985",
110/10/18,"5,450,752","743,028,806",136.70,136.90,135.60,135.85,-0.40,"6,738",
110/10/19,"8,666,121","1,186,479,700",136.20,137.25,136.05,136.95,+1.10,"5,866",
110/10/20,"14,674,356","2,008,846,387",137.05,137.30,136.45,136.60,-0.35,"11,922",
110/10/21,"13,292,564","1,823,893,063",136.70,137.80,136.10,136.10,-0.50,"9,180",
110/10/22,"5,321,361","725,081,014",136.25,136.75,135.65,136.50,+0.40,"4,657",
110/10/25,"7,522,325","1,022,937,288",136.00,136.70,135.20,136.40,-0.10,"7,124",
110/10/26,"10,797,704","1,483,480,452",136.65,137.75,136.60,137.55,+1.15,"9,789",
110/10/27,"7,527,789","1,031,896,075",136.95,137.55,136.70,137.55, 0.00,"5,876",
110/10/28,"4,597,622","630,055,512",137.45,137.65,136.60,137.15,-0.40,"5,081",
110/10/29,"5,145,743","699,434,063",137.05,137.05,135.35,135.80,-1.35,"6,484",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
