,,,,,,,,,112年02月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/02/01,"6,903,171","821,124,932",119.10,119.45,118.45,119.00,+0.70,"8,921",
112/02/02,"16,194,958","1,956,007,315",120.30,121.10,120.25,121.00,+2.00,"15,931",
112/02/03,"9,934,984","1,200,856,481",120.95,121.20,120.20,121.00, 0.00,"10,997",
112/02/06,"14,297,030","1,709,758,781",120.10,120.10,119.25,119.25,-1.75,"25,811",
112/02/07,"8,787,291","1,045,314,027",119.10,119.25,118.55,119.00,-0.25,"13,540",
112/02/08,"9,239,321","1,114,132,382",120.10,120.95,120.00,120.85,+1.85,"8,739",
112/02/09,"5,032,245","607,543,546",120.50,121.00,120.30,120.90,+0.05,"7,141",
112/02/10,"6,572,526","794,912,205",120.90,121.10,120.60,121.00,+0.10,"9,368",
112/02/13,"4,149,906","499,573,936",120.70,120.90,119.90,120.75,-0.25,"8,262",
112/02/14,"7,965,786","968,395,750",121.25,121.80,121.25,121.65,+0.90,"8,497",
112/02/15,"13,852,368","1,653,181,275",119.95,120.25,118.80,118.85,-2.80,"33,160",
112/02/16,"11,233,273","1,349,768,658",119.30,120.50,119.30,120.30,+1.45,"14,038",
112/02/17,"8,960,233","1,064,028,251",119.30,119.30,118.40,118.75,-1.55,"22,127",
112/02/20,"6,230,136","741,121,308",118.55,119.35,118.10,119.00,+0.25,"11,499",
112/02/21,"4,772,315","567,003,197",119.00,119.10,118.55,118.95,-0.05,"9,128",
112/02/22,"12,041,784","1,414,076,263",117.50,117.75,117.10,117.65,-1.30,"24,996",
112/02/23,"6,448,658","768,858,699",117.95,119.80,117.95,119.40,+1.75,"8,273",
112/02/24,"5,828,709","695,430,436",119.90,120.10,118.80,118.80,-0.60,"9,038",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
