,,,,,,,,,112年04月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/04/06,"8,076,540","975,648,621",120.85,121.00,120.20,121.00,-0.60,"15,029",
112/04/07,"4,623,088","559,443,394",121.25,121.45,120.80,121.00, 0.00,"6,781",
112/04/10,"4,503,497","545,831,612",121.25,121.65,120.90,121.00, 0.00,"10,059",
112/04/11,"6,233,410","753,799,317",121.00,121.15,120.40,120.85,-0.15,"7,741",
112/04/12,"3,247,078","391,083,845",120.85,120.85,120.15,120.55,-0.30,"8,438",
112/04/13,"7,509,494","899,888,595",120.05,120.15,119.50,119.50,-1.05,"20,441",
112/04/14,"3,289,954","396,239,471",120.00,120.90,119.85,120.65,+1.15,"5,326",
112/04/17,"6,061,114","728,092,733",120.35,120.50,119.80,120.35,-0.30,"10,622",
112/04/18,"5,183,750","621,931,940",120.35,120.40,119.75,119.95,-0.40,"8,973",
112/04/19,"8,700,172","1,037,538,973",120.00,120.05,118.80,119.05,-0.90,"22,007",
112/04/20,"7,081,813","841,412,699",118.85,119.40,118.40,118.90,-0.15,"14,761",
112/04/21,"5,326,801","633,413,325",119.45,119.55,118.50,118.60,-0.30,"11,296",
112/04/24,"7,308,582","863,114,882",117.80,118.50,117.70,118.15,-0.45,"16,153",
112/04/25,"21,039,325","2,465,027,235",118.30,118.30,116.55,116.60,-1.55,"50,500",
112/04/26,"14,209,529","1,647,263,712",116.55,116.60,115.65,116.10,-0.50,"27,918",
112/04/27,"10,274,310","1,192,417,644",116.05,116.65,115.50,116.00,-0.10,"16,910",
112/04/28,"6,023,403","705,691,455",116.85,117.55,116.85,117.40,+1.40,"8,752",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
