,,,,,,,,,109年01月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/01/02,"4,882,015","476,649,683",97.05,98.00,97.05,97.65,+0.70,"2,421",
109/01/03,"6,813,547","665,657,992",98.30,98.70,97.00,97.65, 0.00,"3,080",
109/01/06,"9,321,768","901,060,879",97.05,97.10,96.40,96.40,-1.25,"4,809",
109/01/07,"6,328,602","607,425,541",96.45,96.70,95.40,96.10,-0.30,"4,116",
109/01/08,"8,516,995","813,733,739",95.20,96.20,95.05,95.65,-0.45,"5,033",
109/01/09,"7,163,943","693,086,421",96.30,97.10,96.30,96.95,+1.30,"3,879",
109/01/10,"9,071,925","882,408,791",97.50,97.80,96.95,97.30,+0.35,"4,900",
109/01/13,"6,650,898","650,806,854",97.85,98.10,97.50,98.00,+0.70,"2,883",
109/01/14,"11,544,956","1,138,704,185",98.50,98.85,98.40,98.60,+0.60,"6,403",
109/01/15,"10,259,354","1,004,716,001",98.70,98.70,97.45,97.60,-1.00,"5,316",
109/01/16,"8,686,499","844,614,108",97.15,97.50,97.00,97.30,-0.30,"2,646",
109/01/17,"8,121,134","791,003,262",97.70,97.75,97.10,97.30, 0.00,"2,944",
109/01/20,"6,969,945","681,688,026",97.55,98.00,97.55,97.70,+0.40,"3,130",
109/01/30,"32,262,874","3,014,149,166",95.00,95.00,92.15,92.15,-5.55,"16,273",
109/01/31,"22,497,767","2,030,143,514",90.65,90.65,89.65,89.95,X0.00,"11,950",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
