,,,,,,,,,112年07月 2330 台積電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/07/03,"15,118,041","8,743,824,984",578.00,580.00,576.00,579.00,+3.00,"15,659",
112/07/04,"17,777,363","10,361,905,547",585.00,585.00,580.00,585.00,+6.00,"18,848",
112/07/05,"15,553,503","9,060,750,346",589.00,589.00,579.00,582.00,-3.00,"16,504",
112/07/06,"32,069,711","18,234,491,768",573.00,574.00,565.00,565.00,-17.00,"60,108",
112/07/07,"19,858,943","11,244,712,238",565.00,572.00,563.00,565.00, 0.00,"21,855",
112/07/10,"18,996,089","10,794,393,087",567.00,573.00,565.00,565.00, 0.00,"17,792",
112/07/11,"18,566,571","10,665,245,909",574.00,577.00,570.00,577.00,+12.00,"17,795",
112/07/12,"16,220,006","9,338,600,582",574.00,578.00,572.00,578.00,+1.00,"14,426",
112/07/13,"26,878,397","15,790,086,719",587.00,590.00,585.00,585.00,+7.00,"32,540",
112/07/14,"24,381,177","14,372,679,526",589.00,591.00,587.00,591.00,+6.00,"26,789",
112/07/17,"14,311,753","8,428,551,949",588.00,591.00,587.00,591.00, 0.00,"18,226",
112/07/18,"22,022,410","12,866,196,578",587.00,588.00,580.00,581.00,-10.00,"31,079",
112/07/19,"24,909,638","14,517,904,258",584.00,587.00,579.00,581.00, 0.00,"20,069",
112/07/20,"15,676,734","9,102,325,307",580.00,584.00,578.00,579.00,-2.00,"19,382",
112/07/21,"52,275,128","29,291,080,481",560.00,563.00,557.00,560.00,-19.00,"86,810",
112/07/24,"27,656,825","15,469,188,055",557.00,563.00,557.00,558.00,-2.00,"30,269",
112/07/25,"22,767,807","12,899,067,927",561.00,569.00,561.00,569.00,+11.00,"21,119",
112/07/26,"15,147,698","8,586,520,667",569.00,571.00,563.00,566.00,-3.00,"21,679",
112/07/27,"13,004,888","7,396,939,592",570.00,570.00,566.00,569.00,+3.00,"12,672",
112/07/28,"19,009,675","10,814,265,557",569.00,573.00,565.00,567.00,-2.00,"19,313",
112/07/31,"28,409,339","16,044,638,425",575.00,575.00,560.00,565.00,-2.00,"28,425",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
