,,,,,,,,,112年05月 2330 台積電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/05/02,"17,142,380","8,572,554,842",500.00,502.00,496.50,501.00,-1.00,"18,247",
112/05/03,"12,694,698","6,305,914,905",496.00,498.00,495.00,496.00,-5.00,"25,658",
112/05/04,"13,699,933","6,818,128,036",497.00,499.50,496.00,498.00,+2.00,"14,801",
112/05/05,"7,898,012","3,949,232,374",500.00,502.00,498.50,500.00,+2.00,"10,944",
112/05/08,"11,737,287","5,932,968,954",509.00,509.00,502.00,504.00,+4.00,"13,709",
112/05/09,"18,762,778","9,530,653,802",507.00,510.00,505.00,510.00,+6.00,"17,452",
112/05/10,"19,385,820","9,753,130,414",508.00,508.00,500.00,503.00,-7.00,"26,320",
112/05/11,"13,775,130","6,894,746,011",506.00,506.00,498.50,499.00,-4.00,"20,237",
112/05/12,"20,746,928","10,313,384,387",496.00,500.00,495.00,496.00,-3.00,"27,989",
112/05/15,"15,548,031","7,721,867,966",497.00,499.50,494.50,495.50,-0.50,"16,896",
112/05/16,"24,052,785","12,131,536,763",503.00,508.00,500.00,505.00,+9.50,"22,355",
112/05/17,"44,352,410","22,870,340,267",508.00,521.00,506.00,519.00,+14.00,"52,663",
112/05/18,"46,107,848","24,437,734,052",533.00,536.00,526.00,530.00,+11.00,"50,359",
112/05/19,"34,742,592","18,476,363,730",535.00,535.00,529.00,532.00,+2.00,"39,104",
112/05/22,"19,037,508","10,100,912,410",532.00,533.00,529.00,531.00,-1.00,"18,796",
112/05/23,"20,126,817","10,638,352,410",530.00,531.00,525.00,530.00,-1.00,"15,826",
112/05/24,"22,621,221","11,888,325,332",527.00,528.00,524.00,525.00,-5.00,"16,339",
112/05/25,"68,360,924","36,976,525,917",542.00,545.00,537.00,543.00,+18.00,"80,930",
112/05/26,"104,924,623","59,322,536,825",568.00,568.00,563.00,566.00,+23.00,"131,612",
112/05/29,"58,813,792","33,454,887,785",574.00,574.00,564.00,568.00,+2.00,"52,250",
112/05/30,"47,490,594","26,861,389,177",566.00,568.00,563.00,566.00,-2.00,"32,956",
112/05/31,"90,675,529","50,573,324,515",560.00,562.00,551.00,558.00,-8.00,"39,679",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
