,,,,,,,,,112年02月 2330 台積電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/02/01,"42,539,626","22,450,948,467",532.00,533.00,522.00,530.00,+8.00,"31,487",
112/02/02,"46,523,592","25,091,483,557",538.00,542.00,537.00,540.00,+10.00,"45,495",
112/02/03,"34,156,234","18,439,613,447",540.00,542.00,536.00,542.00,+2.00,"39,674",
112/02/06,"32,208,918","17,041,821,849",532.00,533.00,526.00,526.00,-16.00,"46,279",
112/02/07,"24,362,116","12,767,910,080",524.00,528.00,522.00,523.00,-3.00,"28,519",
112/02/08,"37,633,169","20,247,927,642",538.00,540.00,534.00,540.00,+17.00,"43,495",
112/02/09,"22,311,345","12,026,317,167",540.00,540.00,536.00,540.00, 0.00,"19,698",
112/02/10,"30,445,088","16,545,221,176",544.00,546.00,541.00,545.00,+5.00,"40,984",
112/02/13,"23,903,151","12,921,896,752",544.00,544.00,538.00,541.00,-4.00,"22,431",
112/02/14,"23,855,974","12,990,943,260",544.00,546.00,543.00,545.00,+4.00,"27,983",
112/02/15,"66,068,713","34,751,111,404",526.00,532.00,522.00,525.00,-20.00,"103,433",
112/02/16,"33,509,968","17,692,691,883",528.00,531.00,524.00,528.00,+3.00,"27,033",
112/02/17,"29,673,053","15,385,668,299",524.00,524.00,516.00,518.00,-10.00,"55,965",
112/02/20,"21,181,235","10,928,087,780",514.00,519.00,511.00,517.00,-1.00,"25,898",
112/02/21,"15,097,509","7,771,141,142",515.00,517.00,513.00,516.00,-1.00,"27,200",
112/02/22,"26,578,867","13,474,662,693",506.00,509.00,505.00,507.00,-9.00,"47,843",
112/02/23,"26,801,677","13,846,782,345",512.00,521.00,510.00,518.00,+11.00,"26,552",
112/02/24,"48,372,303","24,932,422,713",524.00,525.00,511.00,511.00,-7.00,"29,612",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
