,,,,,,,,,112年06月 2330 台積電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/06/01,"25,257,673","13,920,836,412",550.00,554.00,550.00,551.00,-7.00,"25,441",
112/06/02,"34,705,102","19,460,144,774",559.00,564.00,557.00,562.00,+11.00,"30,644",
112/06/05,"17,483,804","9,730,882,750",560.00,560.00,555.00,555.00,-7.00,"20,211",
112/06/06,"21,562,088","12,043,550,635",554.00,562.00,553.00,560.00,+5.00,"15,551",
112/06/07,"29,091,913","16,449,319,451",561.00,568.00,560.00,568.00,+8.00,"29,548",
112/06/08,"25,250,687","14,190,442,437",562.00,568.00,555.00,559.00,-9.00,"27,238",
112/06/09,"19,776,199","11,160,654,540",561.00,566.00,561.00,565.00,+6.00,"16,713",
112/06/12,"28,656,646","16,431,644,333",574.00,574.00,571.00,574.00,+9.00,"38,130",
112/06/13,"62,671,781","37,077,358,748",593.00,594.00,589.00,593.00,+19.00,"84,903",
112/06/14,"25,981,992","15,311,616,372",590.00,591.00,587.00,590.00,-3.00,"28,171",
112/06/15,"29,868,798","17,618,169,127",590.00,593.00,587.00,591.00,X0.00,"28,303",
112/06/16,"41,560,389","24,417,862,365",590.00,590.00,584.00,589.00,-2.00,"27,450",
112/06/19,"14,883,308","8,682,282,040",583.00,585.00,582.00,583.00,-6.00,"18,979",
112/06/20,"17,013,418","9,902,274,410",579.00,585.00,579.00,583.00, 0.00,"17,658",
112/06/21,"23,718,735","13,782,152,333",582.00,585.00,578.00,581.00,-2.00,"25,132",
112/06/26,"29,870,090","17,192,208,130",576.00,578.00,574.00,574.00,-7.00,"28,167",
112/06/27,"22,447,417","12,847,067,878",570.00,575.00,569.00,572.00,-2.00,"20,736",
112/06/28,"18,684,508","10,734,873,692",579.00,579.00,571.00,574.00,+2.00,"15,939",
112/06/29,"18,046,268","10,372,330,946",578.00,580.00,570.00,573.00,-1.00,"17,649",
112/06/30,"33,830,922","19,401,712,736",570.00,576.00,568.00,576.00,+3.00,"20,529",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
